YORF	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YPL026C	-0.01	0.29	-0.42	-0.29	-0.07	0.04	0.06
YNL168C	0	0.19	0.12	-0.36	0.06	0.11	-0.15
YDR007W	0.06	0.03	0.07	-0.34	-0.03	0.08	-0.07
YHR165C	0.15	0	0.11	-0.23	0.03	0.01	-0.03
YJL145W	0.3	0.07	0.19	-0.23	-0.09	0.04	-0.1
YGR267C	0.2	0.07	0.11	-0.32	-0.07	0.26	-0.23
YIL176C	0.24	0.15	0.12	-0.15	0.08	0.15	-0.04
YML130C	0.32	0.25	0.01	-0.4	0.06	0.2	-0.2
YBL022C	0.2	0.21	-0.01	-0.23	-0.01	0.07	-0.03
YBR090C	0.41	0.62	0.21	0.19	0.11	0.43	-0.09
YKR070W	0.08	0.36	0.11	0.04	0.19	0.12	-0.14
YDL103C	0.08	0.84	0.01	0.03	-0.01	0.41	-0.34
YFL016C	-0.03	0.58	0.07	-0.17	0.14	0.45	-0.01
YAL001C	-0.23	0.51	0.13	0.25	-0.05	0.37	0.1
YLR089C	0.06	0.45	0.45	0.11	0.3	-0.22	0.26
YIL014W	-0.06	0.32	0.38	-0.07	0.24	-0.18	0.29
YPR198W	0.04	0.24	0.58	-0.01	0.29	-0.25	0.4
YBL042C	0.34	0.32	1.09	0.24	0.64	-0.09	0.81
YER178W	0.34	0.54	0.86	0.3	0.32	-0.07	0.58
YMR008C	0.26	0.4	0.45	0.12	0.43	-0.03	0.4
YBR041W	0.25	0.16	0.29	0.29	0.26	0.04	0.08
YPR055W	0.15	0.15	0.16	0.08	0.07	0.08	0.07
YMR083W	0.4	0.84	0.92	0.38	0.67	0.29	0.4
YCL043C	0.48	0.6	0.86	0.2	0.41	0.19	0.01
YBR086C	0.45	0.5	0.64	0.25	0.12	0	-0.01
YLR027C	0.29	0.45	0.92	0.21	0.12	0.01	0.21
YGL077C	0.25	0.34	0.92	0.24	0.14	-0.07	0
YGL203C	0.25	0.14	0.38	-0.07	0.12	0.11	0.14
YDL078C	-0.12	0.69	-0.01	-0.03	-0.18	0.71	0.5
YDL057W	-0.14	0.48	-0.01	-0.1	-0.58	0.48	0.32
YBL047C	-0.1	0.6	0.04	-0.1	-0.38	0.4	0.58
YDR394W	-0.15	0.52	0.08	-0.03	-0.4	0.34	
YAL027W	-0.15	1.06	0.08	-0.18	-0.49	0.56	0.48
YDL054C	-0.22	0.78	0.29	-0.01	-0.42	0.32	0.45
YAL002W	-0.01	0.52	-0.04	-0.04	-0.23	0.06	0.89
YDL123W	0.16	0.5	0.14	-0.17	-0.34	-0.07	0.64
YER186C	0.14	0.43	0.19	-0.1	-0.12	-0.1	0.32
YDL053C	0.26	0.29	0.19	-0.12	-0.18	-0.12	0.24
YIL147C	0.2	0.26	0.3	-0.06	-0.06	-0.17	0.38
YJL093C	0.2	0.4	0.36	-0.03	0.04	-0.04	0.5
YAL056W	0.01	0.64	0.25	0	-0.09	0.12	0.5
YPR076W	0.14	0.62	0.21	0.15	-0.17	0.04	0.25
YBR240C	-0.2	1.4	0.01	-0.14	-0.54	0.14	0.24
YDL177C	-0.17	1.03	0.2	-0.3	-0.45	-0.1	0.41
YFL063W	-0.09	0.64	0.34	-0.09	-0.49	-0.1	0.26
YBR136W	0.08	0.32	0.12	-0.1	-0.29	0	0.14
YDL033C	-0.04	0.71	0.01	-0.07	-0.79	-0.12	0.67
YBL017C	0.07	0.4	-0.1	0	-0.23	-0.07	0.29
YFL019C	-0.07	0.45	-0.1	-0.04	-0.18	0	0.32
YBL109W	-0.12	0.54	0.12	-0.07	-0.34	-0.4	0.3
YKL197C	-0.03	-0.01	0.06	-0.38	0.01	-0.18	0.11
YNL190W	0.07	-0.04	0.2	-0.4	-0.1	-0.22	0.24
YIR002C	0.01	0.08	0.21	-0.47	-0.1	-0.18	0.4
YPL193W	-0.1	0.15	0.4	-0.42	-0.27	-0.34	0.34
YJR118C	-0.22	0.2	0.34	-0.25	-0.04	0.15	
YMR192W	-0.2	0.25	0.34	-0.2	-0.1	-0.04	0.38
YOR333C	-0.32	-0.01	0.26	-0.23	-0.01	-0.18	0.41
YDR232W	-0.25	0.05	0.33	-0.28	-0.19	-0.11	0.5
YBR296C	-0.58	0.03	0.52	-0.81	-0.42	0.04	1.32
YJL077C	-0.23	-0.06	0.19	-0.15	-0.09	0.08	0.32
YMR296C	-0.04	0	0.21	-0.29	-0.15	0.06	0.25
YAR003W	0.01	0.03	0.26	-0.23	-0.1	-0.01	0.29
YER174C	0.08	0.25	0.21	-0.58	-0.23	0.15	0.86
YNR023W	0.06	0.06	0.21	-0.36	0.12	0.04	0.56
YBR033W	0.16	0.11	0.21	-0.23	0.07	0.07	0.29
YOR087W	0.01	0.15	0.43	-0.27	0.21	-0.1	0.14
YJL075C	-0.07	0.07	0.29	-0.23	-0.01	-0.09	0.12
YIR004W	-0.18	0.15	0.4	-0.42	0.16	0.07	0.3
YPL007C	-0.18	0.21	0.52	-0.17	0.12	0.15	0.12
YOR251C	-0.03	0.15	0.62	-0.3	0.19	0.15	0.19
YPR056W	-0.18	0.21	1.06	-0.3	0.06	0.16	0.45
YKL028W	-0.06	-0.15	0.45	-0.17	0.06	0.2	0.2
YLR374C	-0.34	0	0.43	-0.51	0.15	0.38	0.34
YMR138W	-0.17	0.03	0.29	-0.27	-0.06	0.2	0.11
YHL043W	-0.3	-0.17	0.52	-0.4	-0.18	0.25	0.29
YML113W	-0.23	-0.1	0.38	-0.27	-0.22	0.26	0.32
YDL011C	-0.09	0.08	0.16	0.03	-0.32	0.06	0.38
YBL016W	0.06	0.25	0.48	-0.14	-0.62	0.24	0.54
YEL076C	0.01	0.21	0.29	-0.06	-0.38	0	0.26
YER184C	-0.1	0.32	0.41	-0.01	-0.38	0.07	0.43
YDR459C	0.15	0.25	0.67	0	-0.3	0.06	0.67
YNL176C	0.07	0.19	0.36	-0.23	-0.27	-0.04	0.58
YOL147C	0.07	0	0.6	-0.22	-0.47	0.14	0.45
YJL047C	0.2	-0.01	0.41	-0.1	-0.27	0.16	0.2
YPL139C	0.12	0.07	0.38	-0.1	-0.23	0.08	0.07
YBL020W	0.36	0.11	0.89	-0.07	-0.56	-0.09	0.2
YOR071C	0.21	0.4	0.67	-0.15	-0.23	-0.09	0.45
YEL063C	0.29	0.4	0.45	-0.17	-0.22	0.03	0.2
YFL041W	0.32	0.32	0.64	-0.09	-0.3	0.32	0.32
YDR537C	0.07	0.16	0.6	-0.04	-0.22	0.19	0.21
YBR274W	0.14	0.32	0.69	-0.17	-0.1	0.14	0.19
YPR111W	-0.06	0.29	0.54	-0.23	-0.2	0.06	0.11
YPL151C	-0.07	0.19	0.58	-0.25	-0.3	-0.04	0.19
YOL137W	0	0.14	0.52	-0.2	-0.27	0.08	0.06
YER001W	-0.1	0.14	0.6	0.2	-0.23	0.16	0.25
YDR311W	0	0.07	0.54	0.15	-0.32	0.15	0.26
YLR122C	0	0.01	0.26	0.08	-0.12	0.06	0.07
YDR307W	0.14	0.08	0.81	0.21	-0.18	0.16	0.26
YLR046C	0.08	0.06	0.43	0.19	-0.12	-0.01	0.15
YFL066C	0.03	0.21	0.48	0.11	-0.42	-0.09	0.25
YKL070W	0.04	0.19	0.38	-0.01	-0.3	-0.17	0.11
YER189W	0.06	0.36	0.4	-0.04	-0.27	-0.25	0.14
YFL068W	0.06	0.29	0.2	-0.03	-0.3	-0.17	0.06
YEL025C	0.21	0.32	0.3	0.14	-0.45	-0.2	0.15
YLR463C	0.36	0.11	0.43	0.21	-0.49	-0.27	0.45
YBR045C	0.12	0.11	0.21	-0.06	-0.34	-0.1	0.25
YEL009C	0.14	0.3	0.54	-0.18	-0.23	-0.47	0.24
YLR443W	-0.03	0.24	0.43	-0.45	-0.36	-0.2	0.07
YBR294W	0.03	0.11	0.34	-0.3	-0.4	-0.03	0.2
YDR481C	0.14	0.3	0.11	-0.64	-0.58	0.21	0.52
YOR147W	0.32	0.2	0.14	-0.56	-0.36	0.12	0.38
YOR221C	0.26	0.3	0.14	-0.36	-0.34	0.2	0.21
YGL233W	0.21	0.34	0.26	-0.09	-0.36	0.24	0.25
YPR057W	0.07	0.25	0.25	-0.2	-0.2	0.16	0.12
YFR021W	0.2	0.4	0.4	-0.43	-0.51	0.25	0.14
YOL105C	0.15	0.2	0.45	-0.43	-0.54	0.32	0.15
YPL089C	0.14	0.21	0.3	-0.36	-0.49	0.4	0.21
YNL094W	0.15	0.21	0.32	-0.27	-0.54	0.12	0.19
YBR095C	0.15	0.04	0.19	-0.27	-0.34	-0.01	0.08
YCR107W	0.11	0.03	0.26	-0.43	-0.62	0.16	0.16
YPL162C	0.07	-0.06	0.11	-0.23	-0.29	0.15	0.07
YDR145W	0.2	-0.18	0.56	-0.34	-0.47	0.15	0.03
YPL213W	0.08	-0.22	0.2	-0.1	-0.27	-0.07	0.14
YGL049C	-0.03	-0.23	0.21	0.11	-0.09	-0.04	0.32
YGR139W	-0.09	-0.27	0.92	0.67	0.11	0.14	0.64
YLR159W	-0.1	-0.09	0.2	0.04	0	0.03	0.2
YLR161W	-0.22	-0.1	0.56	0.07	0.19	0.2	0.43
YDR124W	-0.3	0.11	0	-0.1	0.36	0.21	0.6
YMR134W	-0.18	0.08	0.03	-0.06	0.24	0.21	0.25
YJL172W	-0.27	-0.51	0.3	0.2	0.48	0.58	0.5
YGL188C	-0.47	-0.58	0.08	0.26	0.29	0.36	0.81
YNL208W	-0.15	-0.54	0.12	0.2	-0.01	0.38	0.52
YGR086C	0.25	-0.03	-0.4	-0.07	0	0.58	1.03
